,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
1,0.2,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
2,0.3,JJ Roy,JM Vince,RAS Lakmal,4,0,null,4,0,null,null
3,0.4,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
4,0.5,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
5,0.6,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
6,1.1,JM Vince,JJ Roy,KMC Bandara,1,0,null,1,0,null,null
7,1.2,JJ Roy,JM Vince,KMC Bandara,0,0,null,0,0,null,null
8,1.3,JJ Roy,JM Vince,KMC Bandara,0,0,null,0,0,null,null
9,1.4,JJ Roy,JM Vince,KMC Bandara,4,0,null,4,0,null,null
10,1.5,JJ Roy,JM Vince,KMC Bandara,1,0,null,1,0,null,null
11,1.6,JM Vince,JJ Roy,KMC Bandara,0,1,legbyes ,1,0,null,null
12,2.1,JM Vince,JJ Roy,RAS Lakmal,0,0,null,0,0,null,null
13,2.2,JM Vince,JJ Roy,RAS Lakmal,2,0,null,2,0,null,null
14,2.3,JM Vince,JJ Roy,RAS Lakmal,1,0,null,1,0,null,null
15,2.4,JJ Roy,JM Vince,RAS Lakmal,0,1,legbyes ,1,0,null,null
16,2.5,JM Vince,JJ Roy,RAS Lakmal,0,0,null,0,0,null,null
17,2.6,JM Vince,JJ Roy,RAS Lakmal,0,0,null,0,0,null,null
18,3.1,JJ Roy,JM Vince,KMC Bandara,0,0,null,0,0,null,null
19,3.2,JJ Roy,JM Vince,KMC Bandara,0,0,null,0,0,null,null
20,3.3,JJ Roy,JM Vince,KMC Bandara,1,0,null,1,0,null,null
21,3.4,JM Vince,JJ Roy,KMC Bandara,4,0,null,4,0,null,null
22,3.5,JM Vince,JJ Roy,KMC Bandara,2,0,null,2,0,null,null
23,3.6,JM Vince,JJ Roy,KMC Bandara,4,0,null,4,0,null,null
24,4.1,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
25,4.2,JJ Roy,JM Vince,RAS Lakmal,1,0,null,1,0,null,null
26,4.3,JM Vince,JJ Roy,RAS Lakmal,0,0,null,0,0,null,null
27,4.4,JM Vince,JJ Roy,RAS Lakmal,1,0,null,1,0,null,null
28,4.5,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
29,4.6,JJ Roy,JM Vince,RAS Lakmal,0,0,null,0,0,null,null
30,5.1,JM Vince,JJ Roy,N Pradeep,0,0,null,0,0,null,null
31,5.2,JM Vince,JJ Roy,N Pradeep,0,0,null,0,0,null,null
32,5.3,JM Vince,JJ Roy,N Pradeep,1,0,null,1,0,null,null
33,5.4,JJ Roy,JM Vince,N Pradeep,0,0,null,0,0,null,null
34,5.5,JJ Roy,JM Vince,N Pradeep,3,0,null,3,0,null,null
35,5.6,JM Vince,JJ Roy,N Pradeep,1,0,null,1,0,null,null
36,6.1,JM Vince,JJ Roy,KMC Bandara,0,0,null,0,0,null,null
37,6.2,JM Vince,JJ Roy,KMC Bandara,0,0,null,0,0,null,null
38,6.3,JM Vince,JJ Roy,KMC Bandara,4,0,null,4,0,null,null
39,6.4,JM Vince,JJ Roy,KMC Bandara,0,0,null,0,0,null,null
40,6.5,JM Vince,JJ Roy,KMC Bandara,0,0,null,0,0,null,null
41,6.6,JM Vince,JJ Roy,KMC Bandara,0,0,null,0,0,null,null
42,7.1,JJ Roy,JM Vince,N Pradeep,0,0,null,0,0,null,null
43,7.2,JJ Roy,JM Vince,N Pradeep,1,0,null,1,0,null,null
44,7.3,JM Vince,JJ Roy,N Pradeep,0,0,null,0,0,null,null
45,7.4,JM Vince,JJ Roy,N Pradeep,0,0,null,0,0,null,null
46,7.5,JM Vince,JJ Roy,N Pradeep,1,0,null,1,0,null,null
47,7.6,JJ Roy,JM Vince,N Pradeep,1,0,null,1,0,null,null
48,8.1,JJ Roy,JM Vince,KMC Bandara,4,0,null,4,0,null,null
49,8.2,JJ Roy,JM Vince,KMC Bandara,2,0,null,2,0,null,null
50,8.3,JJ Roy,JM Vince,KMC Bandara,4,0,null,4,0,null,null
51,8.4,JJ Roy,JM Vince,KMC Bandara,1,0,null,1,0,null,null
52,8.5,JM Vince,JJ Roy,KMC Bandara,0,0,null,0,0,null,null
