,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,0,0,null,0,0,null,null
1,0.2,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,4,0,null,4,0,null,null
2,0.3,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,0,0,null,0,0,null,null
3,0.4,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,4,0,null,4,0,null,null
4,0.5,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,0,0,null,0,0,null,null
5,0.6,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,0,0,null,0,0,null,null
6,1.1,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,1,0,null,1,0,null,null
7,1.2,Rohan Mustafa,Ashfaq Ahmed,SM Sharif,0,0,null,0,0,null,null
8,1.3,Rohan Mustafa,Ashfaq Ahmed,SM Sharif,1,0,null,1,0,null,null
9,1.4,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,0,0,null,0,0,null,null
10,1.5,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,0,0,null,0,0,null,null
11,1.6,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,0,0,null,0,0,null,null
12,2.1,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,0,0,null,0,0,null,null
13,2.2,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,0,0,null,0,0,null,null
14,2.3,Rohan Mustafa,Ashfaq Ahmed,BTJ Wheal,1,0,null,1,0,null,null
15,2.4,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,4,0,null,4,0,null,null
16,2.5,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,0,0,null,0,0,null,null
17,2.6,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,4,0,null,4,0,null,null
18,3.1,Rohan Mustafa,Ashfaq Ahmed,SM Sharif,1,0,null,1,0,null,null
19,3.2,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,0,0,null,0,0,null,null
20,3.3,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,0,0,null,0,0,null,null
21,3.4,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,4,0,null,4,0,null,null
22,3.5,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,0,0,null,0,0,null,null
23,3.6,Ashfaq Ahmed,Rohan Mustafa,SM Sharif,1,0,null,1,0,null,null
24,4.1,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,0,0,null,0,0,null,null
25,4.2,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,0,0,null,0,0,null,null
26,4.3,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,0,0,null,0,0,null,null
27,4.4,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,2,0,null,2,0,null,null
28,4.5,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,0,1,wides ,1,0,null,null
29,4.6,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,0,0,null,0,0,null,null
30,4.7,Ashfaq Ahmed,Rohan Mustafa,BTJ Wheal,6,0,null,6,0,null,null
31,5.1,Rohan Mustafa,Ashfaq Ahmed,CB Sole,0,0,null,0,0,null,null
32,5.2,Rohan Mustafa,Ashfaq Ahmed,CB Sole,0,0,null,0,0,null,null
33,5.3,Rohan Mustafa,Ashfaq Ahmed,CB Sole,0,0,null,0,0,null,null
34,5.4,Rohan Mustafa,Ashfaq Ahmed,CB Sole,6,0,null,6,0,null,null
35,5.5,Rohan Mustafa,Ashfaq Ahmed,CB Sole,4,0,null,4,0,null,null
36,5.6,Rohan Mustafa,Ashfaq Ahmed,CB Sole,6,0,null,6,0,null,null
37,6.1,Ashfaq Ahmed,Rohan Mustafa,MRJ Watt,1,0,null,1,0,null,null
38,6.2,Rohan Mustafa,Ashfaq Ahmed,MRJ Watt,4,0,null,4,0,null,null
39,6.3,Rohan Mustafa,Ashfaq Ahmed,MRJ Watt,0,0,null,0,0,null,null
40,6.4,Rohan Mustafa,Ashfaq Ahmed,MRJ Watt,1,0,null,1,0,null,null
41,6.5,Ashfaq Ahmed,Rohan Mustafa,MRJ Watt,0,0,null,0,0,null,null
42,6.6,Ashfaq Ahmed,Rohan Mustafa,MRJ Watt,1,0,null,1,0,null,null
43,7.1,Ashfaq Ahmed,Rohan Mustafa,CB Sole,0,0,null,0,0,null,null
